Movie ID	Average Rating
969		3.860870
970		3.090909
971		3.760000
972		3.119048
973		3.571429
974		3.065217
975		3.209677
976		1.705882
977		2.728571
978		2.675000
979		3.280000
980		3.093750
981		1.833333
982		3.074074
983		2.409091
984		2.923077
985		2.937500
986		2.514286
987		2.500000
988		2.340741
989		2.916667
990		3.078431
991		2.317073
992		3.000000
993		3.558824
994		2.181818
995		3.162791
996		2.647059
997		2.285714
998		2.583333
999		2.666667
1000		2.923077
1001		2.192308
1002		1.900000
1003		2.181818
1004		3.076923
1005		3.628572
1006		2.741935
1007		4.132353
1008		3.240000
1009		3.412371
1010		3.253731
1011		3.217687
1012		3.489796
1013		2.266667
1014		3.021127
1015		3.055556
1016		3.447115
1017		3.242424
1018		3.212766
1019		4.000000
1020		3.925926
1021		3.754386
1022		3.400000
1023		2.591837
1024		3.625000
1025		2.835821
1026		2.600000
1027		2.400000
1028		3.057522
1029		2.130435
1030		2.312500
1031		2.181818
1032		3.095238
1033		2.717391
1034		2.575000
1035		3.141414
1036		2.828571
1037		2.055556
1038		2.714286
1039		4.030534
1040		2.676471
1041		3.195876
1042		3.159091
1043		2.818182
1044		3.228070
1045		3.285714
1046		3.101449
1047		2.810000
1048		3.046729
1049		2.564103
1050		3.742424
1051		3.266667
1052		2.315789
1053		3.400000
1054		2.484848
1055		3.157895
1056		3.066667
1057		2.225806
1058		3.318182
1059		2.788461
1060		3.169492
1061		2.895833
1062		3.600000
1063		3.666667
1064		4.400000
1065		3.482759
1066		3.136364
1067		3.492754
1068		3.250000
1069		3.111111
1070		3.813953
1071		2.958333
1072		2.700000
1073		3.831461
1074		2.902655
1075		3.181818
1076		2.272727
1077		3.076923
1078		2.848485
1079		2.149254
1080		4.000000
1081		2.727273
1082		2.727273
1083		2.500000
1084		3.818182
1085		3.400000
1086		3.171429
1087		1.769231
1088		2.250000
1089		2.185185
1090		2.446429
1091		2.682540
1092		2.529412
1093		3.114286
1094		2.333333
1095		2.594594
1096		2.500000
1097		3.640000
1098		3.733333
1099		3.421053
1100		2.700000
1101		3.747826
1102		2.625000
1103		3.791667
1104		3.000000
1105		2.666667
1106		2.800000
1107		3.222222
1108		2.400000
1109		3.450000
1110		2.901639
1111		3.444444
1112		2.692308
1113		3.366667
1114		3.375000
1115		3.369565
1116		3.736842
1117		3.153846
1118		3.310811
1119		3.607143
1120		3.076923
1121		3.764706
1122		5.000000
1123		3.666667
1124		3.823529
1125		4.333333
1126		3.285714
1127		2.894737
1128		2.466667
1129		3.500000
1130		4.000000
1131		4.062500
1132		2.644444
1133		2.906977
1134		3.388889
1135		2.915493
1136		3.363636
1137		3.953488
1138		3.333333
1139		2.645833
1140		2.347826
1141		3.272727
1142		4.046154
1143		3.920000
1144		3.400000
1145		2.733333
1146		1.750000
1147		3.566667
1148		3.333333
1149		3.853658
1150		3.416667
1151		2.200000
1152		3.372093
1153		3.357143
1154		3.388889
1155		3.600000
1156		3.000000
1157		3.027027
1158		4.000000
1159		3.684211
1160		3.605263
1161		2.850000
1162		1.571429
1163		2.756098
1164		2.222222
1165		1.909091
1166		3.166667
1167		3.764706
1168		3.419355
1169		4.181818
1170		3.000000
1171		3.166667
1172		3.571429
1173		2.454545
1174		3.461539
1175		3.285714
1176		3.371428
1177		2.090909
1178		2.423077
1179		2.083333
1180		2.600000
1181		2.538461
1182		2.166667
1183		2.074074
1184		2.666667
1185		2.321429
1186		3.200000
1187		3.200000
1188		2.692308
1189		5.000000
1190		3.250000
1191		4.000000
1192		3.388889
1193		3.769231
1194		3.976191
1195		3.437500
1196		3.000000
1197		3.560606
1198		3.200000
1199		2.805556
1200		3.500000
1201		5.000000
1202		3.727273
1203		4.032258
1204		3.586207
1205		3.200000
1206		2.653846
1207		2.380952
1208		2.774194
1209		2.478261
1210		2.581818
1211		3.437500
1212		2.875000
1213		2.111111
1214		2.000000
1215		1.934783
1216		3.000000
1217		2.857143
1218		3.558824
1219		2.966667
1220		3.340909
1221		3.450000
1222		2.657143
1223		3.400000
1224		2.833333
1225		2.714286
1226		3.413043
1227		2.500000
1228		2.464789
1229		2.050000
1230		1.750000
1231		2.500000
1232		2.526316
1233		3.400000
1234		2.466667
1235		4.000000
1236		3.000000
1237		3.666667
1238		3.166667
1239		2.653846
1240		3.755556
1241		2.750000
1242		2.333333
1243		3.583333
1244		2.905660
1245		3.285714
1246		1.400000
1247		1.833333
1248		3.037037
1249		2.950000
1250		1.333333
1251		4.142857
1252		2.923077
1253		2.555556
1254		1.789474
1255		2.307692
1256		2.000000
1257		1.857143
1258		2.447368
1259		1.800000
1260		2.500000
1261		2.800000
1262		3.636364
1263		2.952381
1264		3.333333
1265		3.034483
1266		3.277778
1267		2.980769
1268		3.400000
1269		4.000000
1270		2.545455
1271		2.777778
1272		1.666667
1273		2.681818
1274		1.833333
1275		2.333333
1276		2.400000
1277		3.464286
1278		3.615385
1279		2.733333
1280		2.615385
1281		3.000000
1282		3.266667
1283		2.689655
1284		2.851064
1285		3.090909
1286		3.695652
1287		1.272727
1288		3.000000
1289		2.100000
1290		1.500000
1291		2.080000
1292		1.800000
1293		5.000000
1294		3.181818
1295		2.818182
1296		3.166667
1297		2.952381
1298		3.692308
1299		2.923077
1300		2.333333
1301		3.714286
1302		3.285714
1303		2.379310
1304		2.000000
1305		2.300000
1306		2.333333
1307		1.500000
1308		1.000000
1309		1.000000
1310		3.000000
1311		2.400000
1312		3.000000
1313		3.050000
1314		2.230769
1315		3.189189
1316		2.666667
1317		1.833333
1318		1.333333
1319		1.750000
1320		1.000000
1321		2.000000
1322		2.400000
1323		2.600000
1324		2.428571
1325		1.000000
1326		3.555556
1327		2.600000
1328		2.888889
1329		1.000000
1330		2.714286
1331		3.166667
1332		2.000000
1333		3.000000
1334		1.000000
1335		2.684211
1336		1.846154
1337		2.285714
1338		2.600000
1339		1.000000
1340		1.000000
1341		1.000000
1342		3.000000
1343		1.000000
1344		3.500000
1345		2.333333
1346		2.500000
1347		2.800000
1348		1.000000
1349		1.000000
1350		1.333333
1351		2.000000
1352		1.000000
1353		2.625000
1354		1.000000
1355		2.700000
1356		2.666667
1357		2.500000
1358		2.333333
1359		1.000000
1360		1.500000
1361		3.000000
1362		2.333333
1363		1.000000
1364		1.000000
1365		1.500000
1366		1.000000
1367		4.428571
1368		3.700000
1369		3.000000
1370		3.000000
1371		1.500000
1372		3.000000
1373		1.000000
1374		1.000000
1375		3.687500
1376		2.111111
1377		3.600000
1378		2.250000
1379		3.000000
1380		2.272727
1381		3.285714
1382		2.000000
1383		2.100000
1384		2.000000
1385		3.000000
1386		2.888889
1387		2.200000
1388		3.500000
1389		3.400000
1390		2.333333
1391		2.500000
1392		2.250000
1393		2.250000
1394		2.818182
1395		2.555556
1396		4.250000
1397		3.333333
1398		4.333333
1399		2.444444
1400		3.214286
1401		3.040000
1402		3.000000
1403		2.800000
1404		3.222222
1405		3.444444
1406		3.333333
1407		2.214286
1408		1.000000
1409		3.083333
1410		2.857143
1411		2.595238
1412		1.636364
1413		2.615385
1414		2.000000
1415		2.538461
1416		2.428571
1417		2.333333
1418		3.666667
1419		2.125000
1420		1.200000
1421		3.250000
1422		2.400000
1423		2.250000
1424		2.333333
1425		2.562500
1426		3.000000
1427		2.625000
1428		3.555556
1429		2.750000
1430		2.600000
1431		3.750000
1432		1.000000
1433		2.000000
1434		2.562500
1435		2.555556
1436		2.500000
1437		2.071429
1438		2.285714
1439		3.090909
1440		3.000000
1441		2.571429
1442		2.666667
1443		4.000000
1444		2.555556
1445		2.571429
1446		3.130435
1447		3.000000
1448		3.666667
1449		4.615385
1450		4.000000
1451		3.857143
1452		4.000000
1453		2.000000
1454		3.111111
1455		2.666667
1456		3.700000
1457		3.000000
1458		4.000000
1459		3.375000
1460		3.000000
1461		2.000000
1462		3.700000
1463		3.000000
1464		2.000000
1465		2.200000
1466		4.000000
1467		5.000000
1468		3.428571
1469		3.062500
1470		2.333333
1471		2.333333
1472		4.000000
1473		3.416667
1474		3.111111
1475		2.923077
1476		2.000000
1477		2.666667
1478		2.714286
1479		2.909091
1480		2.368421
1481		3.333333
1482		4.000000
1483		3.368421
1484		3.000000
1485		3.500000
1486		1.000000
1487		2.125000
1488		2.666667
1489		2.111111
1490		3.000000
1491		2.333333
1492		4.000000
1493		1.000000
1494		1.000000
1495		3.428571
1496		3.125000
1497		3.333333
1498		4.000000
1499		3.200000
1500		5.000000
1501		3.222222
1502		1.500000
1503		3.266667
1504		3.500000
1505		4.000000
1506		3.600000
1507		3.000000
1508		2.333333
1509		1.600000
1510		3.000000
1511		3.125000
1512		4.250000
1513		2.000000
1514		2.916667
1515		4.000000
1516		3.750000
1517		3.000000
1518		2.941176
1519		3.000000
1520		3.000000
1521		3.000000
1522		2.444444
1523		3.000000
1524		4.222222
1525		4.000000
1526		4.000000
1527		2.416667
1528		2.250000
1529		2.750000
1530		2.125000
1531		3.363636
1532		2.000000
1533		4.000000
1534		2.000000
1535		2.833333
1536		5.000000
1537		4.000000
1538		3.000000
1539		1.833333
1540		2.722222
1541		3.666667
1542		3.000000
1543		3.000000
1544		2.666667
1545		2.571429
1546		1.000000
1547		3.333333
1548		1.000000
1549		1.666667
1550		3.000000
1551		2.000000
1552		2.000000
1553		3.000000
1554		2.666667
1555		2.875000
1556		2.000000
1557		1.000000
1558		3.727273
1559		1.000000
1560		3.000000
1561		1.000000
1562		1.000000
1563		1.000000
1564		1.000000
1565		1.000000
1566		1.000000
1567		1.000000
1568		1.000000
1569		1.000000
1570		1.000000
1571		1.000000
1572		1.000000
1573		2.500000
1574		1.000000
1575		1.000000
1576		1.000000
1577		1.000000
1578		2.333333
1579		1.000000
1580		1.000000
1581		1.000000
1582		1.000000
1583		1.000000
1584		1.000000
1585		2.500000
1586		1.000000
1587		1.000000
1588		2.333333
1589		3.333333
1590		2.333333
1591		2.666667
1592		3.750000
1593		4.000000
1594		4.500000
1595		2.000000
1596		2.000000
1597		3.000000
1598		2.777778
1599		5.000000
1600		3.857143
1601		1.000000
1602		3.250000
1603		3.000000
1604		4.000000
1605		3.166667
1606		2.000000
1607		3.400000
1608		2.333333
1609		1.800000
1610		1.800000
1611		3.000000
1612		3.571429
1613		4.000000
1614		3.000000
1615		2.947368
1616		4.000000
1617		2.333333
1618		1.000000
1619		3.000000
1620		3.214286
1621		1.000000
1622		2.333333
1623		4.000000
1624		2.000000
1625		4.000000
1626		1.000000
1627		3.000000
1628		3.571429
1629		4.333333
1630		3.000000
1631		3.500000
1632		3.000000
1633		3.000000
1634		2.000000
1635		3.000000
1636		4.000000
1637		3.000000
1638		3.000000
1639		4.333333
1640		3.000000
1641		3.000000
1642		4.666667
1643		3.750000
1644		1.666667
1645		4.000000
1646		3.500000
1647		3.000000
1648		2.000000
1649		3.000000
1650		4.000000
1651		4.000000
1652		1.666667
1653		5.000000
1654		1.000000
1655		2.000000
1656		4.000000
1657		3.000000
1658		3.000000
1659		1.000000
1660		2.000000
1661		1.000000
1662		2.500000
1663		2.000000
1664		3.250000
1665		2.000000
1666		2.000000
1667		3.000000
1668		3.000000
1669		2.000000
1670		3.000000
1671		1.000000
1672		2.000000
1673		3.000000
1674		4.000000
1675		3.000000
1676		2.000000
1677		3.000000
1678		1.000000
1679		3.000000
1680		2.000000
1681		3.000000
